,loc,Phylum,taxlevel,intersect,unique_edna,unique_trad,count_intersect,count_unique_edna,count_unique_trad,percent_inter_trad,percent_inter_edna
11,Box_Springs,Chordata,Family,NA,NA,Accipitridae;Apodidae;Cathartidae;Certhiidae;Cervidae;Falconidae;Felidae;Fringillidae;Heteromyidae;Icteridae;Passerellidae;Phrynosomatidae;Teiidae;Trochilidae;Viperidae,0,0,15,0%,NA
12,Box_Springs,Chordata,Genus,NA,NA,Aeronautes;Aimophila;Amphispiza;Aquila;Aspidoscelis;Buteo;Calypte;Cathartes;Catherpes;Circus;Crotalus;Dipodomys;Elanus;Falco;Odocoileus;Passerina;Phrynosoma;Puma;Spizella;Sturnella;Troglodytes,0,0,21,0%,NA
13,Box_Springs,Arthropoda,Order,NA,Coleoptera;Diptera;Hymenoptera;Podocopida,NA,0,4,0,NA,0%
14,Box_Springs,Arthropoda,Family,NA,Braconidae;Cerambycidae;Chironomidae;Cyprididae;Formicidae;Mycetophilidae,NA,0,6,0,NA,0%
15,Box_Springs,Arthropoda,Genus,NA,Clunio;Diolcogaster;Linepithema;Prionus,NA,0,4,0,NA,0%
16,Box_Springs,Streptophyta,Order,NA,Asterales;Boraginales;Brassicales;Bryales;Caryophyllales;Ericales;Fabales;Geraniales;Klebsormidiales;Malpighiales;Malvales;Pinales;Poales;Porellales;Proteales;Ranunculales,NA,0,16,0,NA,0%
17,Box_Springs,Streptophyta,Family,NA,Asteraceae;Brassicaceae;Bryaceae;Chenopodiaceae;Ericaceae;Fabaceae;Geraniaceae;Hydrophyllaceae;Klebsormidiaceae;Lejeuneaceae;Malvaceae;Pinaceae;Platanaceae;Poaceae;Polemoniaceae;Ranunculaceae;Salicaceae,NA,0,17,0,NA,0%
18,Box_Springs,Streptophyta,Genus,NA,Ambrosia;Avena;Baccharis;Brassica;Bromus;Callirhoe;Descurainia;Encelia;Erodium;Festuca;Geranium;Interfilum;Kali;Klebsormidium;Melilotus;Navarretia;Phacelia;Pinus;Platanus;Ranunculus;Salix;Schismus;Vaccinium,NA,0,23,0,NA,0%
19,Carpinteria_Beach,Chordata,Order,NA,Clupeiformes;Stolidobranchia,Anseriformes;Apodiformes;Caprimulgiformes;Charadriiformes;Ciconiiformes;Columbiformes;Coraciiformes;Falconiformes;Galliformes;Gaviiformes;Gruiformes;Passeriformes;Pelecaniformes;Piciformes;Podicipediformes;Strigiformes;Trochiliformes,0,2,17,0%,0%
20,Carpinteria_Beach,Chordata,Family,NA,Clupeidae;Oikopleuridae;Styelidae,Accipitridae;Aegithalidae;Alaudidae;Anatidae;Apodidae;Ardeidae;Bombycillidae;Caprimulgidae;Cathartidae;Certhiidae;Cerylidae;Charadriidae;Ciconiidae;Columbidae;Corvidae;Falconidae;Fregatidae;Fringillidae;Gaviidae;Hirundinidae;Icteridae;Laniidae;Laridae;Mimidae;Motacillidae;Odontophoridae;Parulidae;Passerellidae;Passeridae;Pelecanidae;Phalacrocoracidae;Picidae;Podicipedidae;Rallidae;Recurvirostridae;Scolopacidae;Sittidae;Strigidae;Sturnidae;Sylviidae;Thraupidae;Threskiornithidae;Trochilidae;Turdidae;Tyrannidae;Tytonidae;Vireonidae,0,3,47,0%,0%
21,Carpinteria_Beach,Chordata,Genus,NA,Nematalosa;Oikopleura;Styela,Accipiter;Actitis;Aechmophorus;Aeronautes;Agelaius;Aix;Anas;Anser;Anthus;Aphelocoma;Ardea;Arenaria;Asio;Athene;Bombycilla;Botaurus;Branta;Bubo;Bubulcus;Bucephala;Buteo;Butorides;Calamospiza;Calidris;Callipepla;Calypte;Cardellina;Carduelis;Carpodacus;Cathartes;Catharus;Chaetura;Charadrius;Chlidonias;Chordeiles;Circus;Cistothorus;Colaptes;Columba;Contopus;Corvus;Cygnus;Dendrocygna;Egretta;Elanus;Empidonax;Eremophila;Euphagus;Falco;Fregata;Fulica;Gallinago;Gallinula;Gavia;Geothlypis;Haliaeetus;Himantopus;Hirundo;Histrionicus;Icterus;Junco;Lanius;Larus;Limnodromus;Limosa;Megaceryle;Melanitta;Melospiza;Mergus;Mimus;Molothrus;Mycteria;Myiarchus;Numenius;Nycticorax;Oreoscoptes;Oxyura;Pandion;Passer;Passerculus;Passerella;Passerina;Pelecanus;Petrochelidon;Phalacrocorax;Phalaenoptilus;Phalaropus;Pheucticus;Picoides;Pipilo;Piranga;Plegadis;Pluvialis;Podiceps;Podilymbus;Polioptila;Porzana;Psaltriparus;Rallus;Recurvirostra;Regulus;Riparia;Rynchops;Sayornis;Selasphorus;Setophaga;Sialia;Sitta;Sphyrapicus;Spizella;Stelgidopteryx;Sterna;Sturnella;Sturnus;Tachycineta;Thryomanes;Tringa;Troglodytes;Turdus;Tyrannus;Tyto;Vermivora;Vireo;Zenaida;Zonotrichia,0,3,125,0%,0%
22,Carpinteria_Beach,Arthropoda,Order,NA,Amphipoda;Araneae;Calanoida;Coleoptera;Cyclopoida;Harpacticoida;Hymenoptera;Misophrioida;Mysida;Oribatida;Sessilia;Trombidiformes,NA,0,12,0,NA,0%
23,Carpinteria_Beach,Arthropoda,Family,NA,Ameiridae;Chrysomelidae;Chthamalidae;Cosmochthoniidae;Crangonyctidae;Cyclopidae;Ectinosomatidae;Eriophyidae;Euterpinidae;Harpacticidae;Miraciidae;Misophriidae;Mysidae;Nemesiidae;Paracalanidae;Pteromalidae,NA,0,16,0,NA,0%
24,Carpinteria_Beach,Arthropoda,Genus,NA,Ameira;Aname;Benthomisophria;Bradya;Chthamalus;Crangonyx;Euterpina;Mysidella;Nasonia;Paracalanus;Scelolyperus,NA,0,11,0,NA,0%
25,Carpinteria_Beach,Streptophyta,Order,Alismatales;Apiales;Asparagales;Asterales;Boraginales;Brassicales;Caryophyllales;Fabales;Geraniales;Lamiales;Malpighiales;Myrtales;Poales;Rosales;Sapindales;Solanales,Bryales;Charales;Coleochaetales;Cucurbitales;Cupressales;Desmidiales;Fagales;Klebsormidiales;Pinales;Porellales;Zygnematales,Dipsacales;Equisetales;Ericales;Gentianales;Malvales;Oxalidales;Piperales;Ranunculales;Saxifragales,16,11,9,64%,59%
26,Carpinteria_Beach,Streptophyta,Family,Aizoaceae;Amaranthaceae;Amaryllidaceae;Anacardiaceae;Apiaceae;Asteraceae;Boraginaceae;Brassicaceae;Caryophyllaceae;Chenopodiaceae;Convolvulaceae;Fabaceae;Geraniaceae;Plumbaginaceae;Poaceae;Polygonaceae;Rosaceae;Salicaceae;Scrophulariaceae,Betulaceae;Bryaceae;Characeae;Coleochaetaceae;Cucurbitaceae;Cupressaceae;Desmidiaceae;Fagaceae;Gesneriaceae;Klebsormidiaceae;Lejeuneaceae;Myrtaceae;Pinaceae;Rutaceae;Taxaceae;Zosteraceae;Zygnemataceae,Adoxaceae;Apocynaceae;Araceae;Araliaceae;Asparagaceae;Basellaceae;Cactaceae;Cymodoceaceae;Cyperaceae;Equisetaceae;Euphorbiaceae;Frankeniaceae;Grossulariaceae;Heliotropiaceae;Hydrophyllaceae;Juncaceae;Juncaginaceae;Lamiaceae;Malvaceae;Nyctaginaceae;Onagraceae;Orobanchaceae;Oxalidaceae;Phrymaceae;Pittosporaceae;Plantaginaceae;Primulaceae;Ranunculaceae;Rhamnaceae;Rubiaceae;Saururaceae;Solanaceae;Tropaeolaceae;Typhaceae;Urticaceae;Verbenaceae,19,17,36,35%,53%
27,Carpinteria_Beach,Streptophyta,Genus,Atriplex;Brassica;Conium;Cuscuta;Erodium;Festuca;Lepidium;Limonium;Medicago;Melilotus;Mesembryanthemum;Myoporum;Polygonum;Rubus;Salicornia;Salix;Salsola;Scrophularia;Silene;Sonchus,Agrostemma;Aizoanthemum;Aizoon;Alnus;Anthoxanthum;Betula;Carthamus;Celosia;Chenopodiastrum;Citrus;Cleretum;Coleochaete;Cosmarium;Cucurbita;Cyclolejeunea;Dactylis;Deinandra;Drymonia;Echium;Entransia;Eucalyptus;Glycine;Interfilum;Ipomoea;Juniperus;Klebsormidium;Koenigia;Lampranthus;Narcissus;Neohenricia;Nitella;Phyllospadix;Pinus;Quercus;Rhodobryum;Rhus;Sarcocornia;Taxus,Abronia;Acacia;Agrostis;Amaranthus;Amaryllis;Ambrosia;Amsinckia;Anagallis;Anemopsis;Anredera;Apium;Artemisia;Arthrocnemum;Arundo;Asparagus;Aster;Avena;Baccharis;Bassia;Berula;Beta;Bromus;Cakile;Calystegia;Camissonia;Cardamine;Carduus;Carex;Carpobrotus;Ceanothus;Centaurea;Chenopodium;Chloris;Clematis;Convolvulus;Conyza;Cordylanthus;Coronopus;Cotula;Cressa;Cynodon;Cyperus;Datura;Descurainia;Distichlis;Drosanthemum;Echinochloa;Eleocharis;Epilobium;Equisetum;Eragrostis;Eriogonum;Eucrypta;Euphorbia;Euthamia;Foeniculum;Frankenia;Galium;Gazania;Gnaphalium;Hazardia;Hedera;Helenium;Helianthus;Heliotropium;Hemizonia;Heterotheca;Hirschfeldia;Hoita;Hordeum;Hypochaeris;Isocoma;Jaumea;Juncus;Kickxia;Lactuca;Lamium;Lasthenia;Lavatera;Lemna;Leptochloa;Leymus;Lolium;Lotus;Lupinus;Malacothamnus;Malacothrix;Malephora;Malva;Malvella;Mentha;Mimulus;Monanthochloe;Nicotiana;Opuntia;Osteospermum;Oxalis;Parapholis;Paspalum;Pennisetum;Phacelia;Picris;Piptatherum;Pittosporum;Plantago;Poa;Polypogon;Potentilla;Raphanus;Ribes;Ricinus;Rorippa;Rumex;Ruppia;Sambucus;Scirpus;Senecio;Setaria;Silybum;Sisymbrium;Solanum;Solidago;Sorghum;Spergularia;Stachys;Stellaria;Stephanomeria;Suaeda;Tetragonia;Toxicodendron;Tragopogon;Trifolium;Triglochin;Tropaeolum;Typha;Urtica;Venegasia;Verbena;Veronica;Vicia;Vinca;Xanthium;Yucca,20,38,143,12%,34%
28,Dawson_Los_Monos_Canyon,Chordata,Order,NA,NA,Anseriformes;Anura;Apodiformes;Carnivora;Caudata;Charadriiformes;Chiroptera;Ciconiiformes;Columbiformes;Coraciiformes;Cuculiformes;Didelphimorphia;Falconiformes;Galliformes;Insectivora;Lagomorpha;Passeriformes;Pelecaniformes;Piciformes;Rodentia;Squamata;Strigiformes;Trochiliformes,0,0,23,0%,NA
29,Dawson_Los_Monos_Canyon,Chordata,Family,NA,NA,Accipitridae;Aegithalidae;Alaudidae;Anatidae;Anguidae;Apodidae;Ardeidae;Boidae;Bombycillidae;Bufonidae;Canidae;Cathartidae;Certhiidae;Cerylidae;Charadriidae;Colubridae;Columbidae;Corvidae;Cricetidae;Didelphidae;Falconidae;Felidae;Fringillidae;Geomyidae;Heteromyidae;Hirundinidae;Hylidae;Icteridae;Leporidae;Mephitidae;Mimidae;Molossidae;Motacillidae;Muridae;Neomorphidae;Odontophoridae;Paridae;Parulidae;Passerellidae;Passeridae;Pelobatidae;Phrynosomatidae;Picidae;Plethodontidae;Procyonidae;Salamandridae;Sciuridae;Sittidae;Soricidae;Strigidae;Sturnidae;Sylviidae;Teiidae;Trochilidae;Turdidae;Tyrannidae;Tytonidae;Vespertilionidae;Viperidae;Vireonidae,0,0,60,0%,NA
30,Dawson_Los_Monos_Canyon,Chordata,Genus,NA,NA,Accipiter;Aeronautes;Agelaius;Anas;Anthus;Aphelocoma;Archilochus;Ardea;Aspidoscelis;Baeolophus;Batrachoseps;Bombycilla;Bubo;Bufo;Buteo;Callipepla;Calypte;Canis;Carduelis;Carpodacus;Cathartes;Catharus;Ceryle;Chaetodipus;Chaetura;Chamaea;Charadrius;Chondestes;Circus;Colaptes;Columba;Corvus;Crotalus;Didelphis;Dipodomys;Elanus;Elgaria;Empidonax;Eremophila;Euphagus;Falco;Geococcyx;Geothlypis;Icteria;Icterus;Junco;Lampropeltis;Lepus;Lichanura;Lynx;Masticophis;Melanerpes;Melospiza;Mephitis;Microtus;Mimus;Molothrus;Mus;Myiarchus;Myotis;Neotoma;Pandion;Passer;Passerella;Passerina;Peromyscus;Petrochelidon;Phainopepla;Pheucticus;Phrynosoma;Picoides;Pipilo;Pituophis;Polioptila;Procyon;Psaltriparus;Pseudacris;Rattus;Regulus;Sayornis;Sceloporus;Setophaga;Sialia;Sitta;Sorex;Spea;Spermophilus;Spilogale;Stelgidopteryx;Sturnella;Sturnus;Sylvilagus;Tachycineta;Tadarida;Taricha;Thamnophis;Thomomys;Thryomanes;Toxostoma;Troglodytes;Turdus;Tyrannus;Tyto;Urocyon;Uta;Vermivora;Vireo;Zenaida;Zonotrichia,0,0,109,0%,NA
31,Dawson_Los_Monos_Canyon,Arthropoda,Order,NA,Coleoptera;Oribatida,NA,0,2,0,NA,0%
32,Dawson_Los_Monos_Canyon,Arthropoda,Family,NA,Cerambycidae,NA,0,1,0,NA,0%
33,Dawson_Los_Monos_Canyon,Arthropoda,Genus,NA,Prionus,NA,0,1,0,NA,0%
34,Dawson_Los_Monos_Canyon,Streptophyta,Order,Apiales;Asterales;Brassicales;Fabales;Malpighiales,Bryales;Hypnales;Klebsormidiales;Orthotrichales;Pottiales;Rhizogoniales,Alismatales;Asparagales;Boraginales;Caryophyllales;Cucurbitales;Dipsacales;Equisetales;Ericales;Fagales;Gentianales;Geraniales;Lamiales;Liliales;Malvales;Myrtales;Oxalidales;Piperales;Poales;Polypodiales;Proteales;Ranunculales;Rosales;Santalales;Sapindales;Saxifragales;Selaginellales;Solanales,5,6,27,16%,45%
35,Dawson_Los_Monos_Canyon,Streptophyta,Family,Apiaceae;Asteraceae;Brassicaceae;Fabaceae,Aulacomniaceae;Brachytheciaceae;Bryaceae;Klebsormidiaceae;Orthotrichaceae;Pottiaceae,Adoxaceae;Anacardiaceae;Apocynaceae;Araceae;Asparagaceae;Boraginaceae;Cactaceae;Caprifoliaceae;Caryophyllaceae;Chenopodiaceae;Cistaceae;Cleomaceae;Convolvulaceae;Crassulaceae;Cucurbitaceae;Cyperaceae;Dennstaedtiaceae;Dryopteridaceae;Equisetaceae;Ericaceae;Euphorbiaceae;Fagaceae;Gentianaceae;Geraniaceae;Grossulariaceae;Hydrophyllaceae;Iridaceae;Juncaceae;Lamiaceae;Liliaceae;Lythraceae;Malvaceae;Montiaceae;Moraceae;Namaceae;Nyctaginaceae;Oleaceae;Onagraceae;Orobanchaceae;Oxalidaceae;Paeoniaceae;Papaveraceae;Phrymaceae;Picrodendraceae;Plantaginaceae;Platanaceae;Poaceae;Polemoniaceae;Polygonaceae;Polypodiaceae;Primulaceae;Pteridaceae;Ranunculaceae;Rhamnaceae;Rosaceae;Rubiaceae;Rutaceae;Salicaceae;Saururaceae;Saxifragaceae;Scrophulariaceae;Selaginellaceae;Solanaceae;Urticaceae;Verbenaceae;Violaceae;Viscaceae,4,6,67,6%,40%
